OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE,ZO_UPD_DATE,SHAPE_Length,SHAPE_Area,NEW_ID,ZD_ZONE_NAME,ZD_ZONE_DESC,agstype
1,IP,2023,NONE,ZMAP-2022-0024,,2025/02/19 05:00:00+00,IP 2023,2025_0008,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/11 04:00:00+00,10903.40805,3646629.967,1,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
2,R16,2023,NV,ZMAP-2023-0007,NO VALUE,2025/02/19 05:00:00+00,R16  2023,2025_0009,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/26 05:00:00+00,4145.403527,750856.1024,2,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
3,R16,2023,28,ZMAP-2019-0021,,2025/02/19 05:00:00+00,R16  2023,2025_0007,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,2010.482244,210384.4081,3,Townhouse/Multifamily Residential-16,Single family attached/detached and multifamily residences at a maximum density of 16 units per acre; 19.2 units per acre with ADU. Served by public water and sewer. In areas designated for infill development. Traditional design option.,R16
4,IP,2023,NONE,, ,2023/07/31 04:00:00+00,IP 2023,2025_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,3001.615665,549368.6549,4,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
5,R4,2023,NONE,ZMAP-2020-0008,,2024/11/07 05:00:00+00,R4  2023,2024_0020,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/03/18 04:00:00+00,9355.951295,3056391.222,5,Single Family Residential-4,"Moderate density single family detached development with a maximum density of 1 unit per 10,000 square feet, 4.8 units per acre with ADU. Served by public water and sewer. Cluster, suburban, and traditional design and compact cluster options.",R4
6,JLMA20,2023,NV, , ,1900/01/01 05:00:00+00,JLMA202023,2020_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,27258.24763,2485845.718,6,Joint Land Management Area-20,Rural business and residential uses compatable with Leesburg Executive Airport (no cluster option); 1.0 dwelling unit per 20 acres,JLMA20
7,TOWNS,2023,NV,NO VALUE,NO VALUE,1900/01/01 05:00:00+00,TOWNS 2023,2020_0012,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/01/31 05:00:00+00,127028.1196,370428628.8,7,Incorporated Towns,Districts zoned by the incorporated town and administered by the town.,TOWNS
8,TR3UBF,2023,, , ,1900/01/01 05:00:00+00,TR3UBF2023,2022_0021,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/12/04 05:00:00+00,77980.38492,89131473.21,8,Transitional Residential - 3 (Upper Broad Run and Upper Foley),"Sub-district of TR3 without central utilities. Residential with cluster (50% open space); 1.0 dwelling unit per 3 acres, 1.2 dwelling units per 3 acres with ADU",TR3UBF
9,PDH6,2023,,ZMAP-2021-0008, ,2024/04/10 04:00:00+00,PDH6  2023,2024_0004,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/09 04:00:00+00,22542.63074,10701641.93,9,Planned Development Housing-6,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 6 units per acre.,PDH6
10,PDH4,2023,,ZMAP-1991-0005, ,1993/03/03 05:00:00+00,PDH4  2023,2023_0006,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2024/02/16 05:00:00+00,86801.8761,75371002.4,10,Planned Development Housing-4,Mixed use residential communities including single family and multifamily housing products with supportive non-residential uses. Maximum overall residential density of 4 units per acre.,PDH4
11,IP,2023,NV,ZRTD-2022-0005,,2023/06/20 04:00:00+00,IP 2023,2023_0027,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/09 04:00:00+00,2499.225953,350980.213,11,Industrial Park,"District for office, light production, flex space, and warehousing uses.  Support limited first floor retail or other accessory uses that serve predominate uses.",IP
12,TR10,2023,, , ,1900/01/01 05:00:00+00,TR10  2023,2021_0028,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,69622.44122,69571485.79,12,Transitional Residential - 10,"Residential with cluster (70% open space); 1.0 dwelling unit per 10 acres, 1.2 dwelling units per 10 acres with ADU",TR10
13,TR3UBF,2023,NV,ZMAP-2012-0013,NO VALUE,2015/01/21 05:00:00+00,TR3UBF2023,,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/03/18 04:00:00+00,9653.756905,3733977.957,13,Transitional Residential - 3 (Upper Broad Run and Upper Foley),"Sub-district of TR3 without central utilities. Residential with cluster (50% open space); 1.0 dwelling unit per 3 acres, 1.2 dwelling units per 3 acres with ADU",TR3UBF
14,R1,2023,28, , ,1900/01/01 05:00:00+00,R1  2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/25 05:00:00+00,9518.612417,744085.4304,14,Single Family Residential-1,"Low-density single family detached development with a maximum density of 1 unit per 40,000 square feet; 1.2 unit per 40,000 square feet with ADU. Served by public water and sewer. Cluster and compact cluster options.",R1
15,AR1,2023,NV,ZMAP-2005-0042, ,2006/12/05 05:00:00+00,AR1  2023,2023_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/04/11 04:00:00+00,1124537.685,6724959430,15,Agricultural Rural - 1,Rural business and residential uses: Base Density: 1.0 dwelling unit per 20 acres; Principal/Subordinate Subdivision: 1.0 dwelling unit per 10 acres; Cluster Subdivision: 1.0 dwelling unit per 5 acres,AR1
16,PDAAAR,2023,NV,ZMAP-2005-0020,0,2007/10/16 04:00:00+00,PDAAAR2023,2012_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2023/12/13 22:48:33+00,19004.91279,11114907.33,16,Planned Development-Active Adult/Age Restricted,"Planned adult residential communities 55 years or older. Max 30 dwelling units per acre, 36 dwelling units per acre with ADU, public sewer and water, and are served by one or more major arterial or collector roads. Consistent with locations designated for high-density urban residential development.",PDAAAR
17,RC,2023,, , ,1900/01/01 05:00:00+00,RC  2023,2025_0003,1902/01/01 05:00:00+00,1902/01/01 05:00:00+00,2025/02/18 05:00:00+00,4242.001081,867779.6219,17,Rural Commercial,Commercial properties predominantly located in rural Loudoun. Uses are compatible with scale and character of general open and rural character of Rural North & South Place Types.,RC
