OBJECTID,PA_MCPI,POINT_X,POINT_Y,POINT_X_SP,POINT_Y_SP
1,001154444000,-77.34298746,39.06269074,11811441.3620833,7072137.24875
2,002150124000,-77.34472901,39.05123369,11810999.4,7067958.48
3,002150139000,-77.34472273,39.05166008,11810999.23,7068113.78604166
4,002150272000,-77.34471237,39.05254617,11810998.11125,7068436.52916667
5,002150656000,-77.34450423,39.05213094,11811059.1195833,7068286.04916666
6,002150904000,-77.34452745,39.0506276,11811059.4177083,7067738.46854167
7,002151038000,-77.34438382,39.05165695,11811095.485,7068113.85875
8,002151322000,-77.34424112,39.05122286,11811137.9975,7067956.27833334
9,002151770000,-77.34413038,39.05252289,11811163.4829167,7068430.13083333
10,002151938000,-77.3440554,39.0516509,11811188.7739583,7068112.82958333
11,002152453000,-77.34385044,39.05199947,11811245.3785417,7068240.50833334
12,002152921000,-77.34367443,39.05113848,11811299.3089583,7067927.57416667
13,002153139000,-77.34363603,39.05165057,11811307.8633333,7068114.20979166
14,002158841000,-77.34160717,39.05166532,11811883.935625,7068126.84395833
15,002159045000,-77.34152838,39.05177146,11811905.821875,7068165.78333333
16,002159148000,-77.34147008,39.05187085,11811921.92,7068202.189375
17,002159262000,-77.34147428,39.05223961,11811919.0308333,7068336.473125
18,002159266000,-77.34147699,39.05235874,11811917.714375,7068379.84645833
19,002159270000,-77.34148125,39.05246872,11811915.9979167,7068419.88541667
20,002159274000,-77.34148053,39.05257899,11811915.6970833,7068460.04791667
21,002159278000,-77.34147395,39.05268894,11811917.0591667,7068500.114375
22,002159353000,-77.34141756,39.05198711,11811936.2985417,7068244.71895833
23,002159382000,-77.34145566,39.05279858,11811921.7491667,7068540.110625
24,002159386000,-77.34144846,39.05290829,11811923.2902083,7068580.08916667
25,002159391000,-77.34144387,39.05303122,11811924.0283333,7068624.875625
26,002159397000,-77.34143601,39.05319792,11811925.4945833,7068685.61604166
27,002160805000,-77.34099528,39.05060026,11812062.5910417,7067741.15479167
28,002160918000,-77.3409882,39.05114018,11812062.1183333,7067937.8125
29,002161196000,-77.34076531,39.05317535,11812116.0520833,7068679.80020833
30,002161599000,-77.34064836,39.05325873,11812148.8791667,7068710.58708334
31,002161768000,-77.34063214,39.05234353,11812157.6939583,7068377.33875
32,002161831000,-77.3405869,39.05138211,11812174.9629167,7068027.36020833
33,002161949000,-77.3404841,39.05187014,11812201.9122917,7068205.46520834
34,002161957000,-77.34060778,39.05208652,11812165.794375,7068283.82375
35,002162578000,-77.340192,39.0528111,11812280.5283333,7068549.20166667
36,002163226000,-77.34008264,39.05126069,11812318.7183333,7067984.95020834
37,002163547000,-77.33998581,39.05178439,11812343.8054167,7068176.02416667
38,002164422000,-77.33968841,39.05109479,11812431.4327083,7067925.94458333
39,002164746000,-77.3395723,39.05176013,11812461.3420833,7068168.67270833
40,002164791000,-77.33957286,39.05296978,11812455.6147917,7068609.21354167
41,002165620000,-77.33927655,39.05101709,11812548.7485417,7067899.12708333
42,002166036000,-77.339105,39.05160989,11812594.731875,7068115.63479167
43,002166812000,-77.33881625,39.05093382,11812679.8425,7067870.45333333
44,002167230000,-77.338638,39.05131603,11812728.7014583,7068010.29104167
45,002167664000,-77.33838167,39.05255187,11812795.7954167,7068461.29083334
46,002168411000,-77.33827755,39.05089319,11812833.0075,7067857.59291667
47,002168956000,-77.33811499,39.05200665,11812874.0372917,7068263.68666667
48,002169842000,-77.33773185,39.05169016,11812984.2972917,7068149.80229166
49,002170932000,-77.33739725,39.0513436,11813080.9129167,7068024.7925
50,002170984000,-77.33734056,39.05282767,11813090.1654167,7068565.47895834
51,002171924000,-77.33708827,39.05103683,11813170.070625,7067914.17979167
52,002172558000,-77.33679289,39.05207634,11813249.15125,7068293.82270834
53,002173218000,-77.3366186,39.05089153,11813304.1135417,7067862.95291667
54,002173750000,-77.33638286,39.05184405,11813366.6602083,7068210.699375
55,002173787000,-77.33633286,39.05289682,11813375.9997917,7068594.28749999
56,002174208000,-77.33620544,39.05073897,11813422.1452083,7067808.88083333
57,002175675000,-77.335752,39.05263289,11813542.1622917,7068500.25645833
58,002175711000,-77.33572272,39.05074796,11813559.18375,7067813.89291666
59,002175740000,-77.33568667,39.05155386,11813565.6977083,7068107.52416667
60,002175752000,-77.3357148,39.05188905,11813556.161875,7068229.49312501
61,002176027000,-77.33553849,39.0512485,11813609.1860417,7067996.84916666
62,002176592000,-77.33540386,39.0530037,11813639.3091667,7068636.55625001
63,002178739000,-77.33469599,39.0514772,11813847.3770833,7068083.17229167
64,002178757000,-77.3346628,39.05208407,11813853.995625,7068304.309375
65,002178791000,-77.33468839,39.05298537,11813842.5614583,7068632.46166667
66,002178873000,-77.33452874,39.05254509,11813889.933125,7068472.68854167
67,002258827000,-77.34157948,39.05403338,11811880.9154167,7068989.36812501
68,002258831000,-77.34159149,39.05414337,11811876.9977083,7069029.38062499
69,002258835000,-77.34158916,39.05425487,11811877.1483333,7069069.998125
70,002258839000,-77.34158161,39.05436712,11811878.7758333,7069110.90479167
71,002258844000,-77.34157161,39.05449284,11811881.0372917,7069156.72729167
72,002258917000,-77.34154401,39.05376734,11811892.209375,7068892.605
73,002258923000,-77.34155766,39.05390977,11811887.6791667,7068944.42749999
74,002258949000,-77.3415579,39.05464902,11811884.2135417,7069213.655
75,002259013000,-77.34151925,39.05364519,11811899.8008333,7068848.20645833
76,002259054000,-77.34152935,39.05476757,11811891.7758333,7069256.9325
77,002259058000,-77.34150818,39.0548765,11811897.2864583,7069296.67666666
78,002259109000,-77.34149559,39.0535371,11811907.018125,7068808.92749999
79,002259162000,-77.34148149,39.05498528,11811904.3639583,7069336.390625
80,002259201000,-77.34145435,39.05332016,11811919.7241667,7068730.06937499
81,002259205000,-77.34147449,39.05342878,11811913.5072917,7068769.55562501
82,002259466000,-77.34138408,39.05509075,11811931.54,7069375.15020834
83,002259670000,-77.34129455,39.05520732,11811956.4279167,7069417.92625
84,002260921000,-77.34099721,39.05339421,11812049.195625,7068758.67583333
85,002261702000,-77.34054497,39.05333329,11812177.8966667,7068738.11041667
86,002262006000,-77.3404511,39.05343443,11812204.0852083,7068775.28208333
87,002262315000,-77.34035316,39.05369979,11812230.6772917,7068872.27333334
88,002262332000,-77.34035152,39.05416448,11812229.003125,7069041.51625
89,002262357000,-77.34037838,39.05482089,11812218.356875,7069280.47750001
90,002262420000,-77.34033333,39.05382222,11812235.7441667,7068916.93145834
91,002262424000,-77.34033894,39.05393212,11812233.6466667,7068956.93645833
92,002262428000,-77.34033265,39.05404154,11812234.9275,7068996.80875
93,002262654000,-77.34025783,39.05474124,11812252.95375,7069251.90083334
94,002262951000,-77.34015043,39.05467025,11812283.78,7069226.43208334
95,002263249000,-77.34004303,39.05459942,11812314.6010417,7069201.02166666
96,002263545000,-77.33994311,39.05452,11812343.3414583,7069172.455625
97,002263933000,-77.33978027,39.05417356,11812391.175625,7069046.87041667
98,002263943000,-77.33984296,39.05442332,11812372.225,7069137.606875
99,002264016000,-77.33977968,39.05370508,11812393.499375,7068876.25854167
100,002264020000,-77.33976937,39.05382892,11812395.858125,7068921.39479166
101,002264024000,-77.33976771,39.05393908,11812395.8204167,7068961.51979166
102,002264028000,-77.33977033,39.0540494,11812394.5689583,7069001.68833333
103,002267444000,-77.33861365,39.05427583,11812721.9772917,7069088.30479167
104,002380608000,-77.33401633,39.0563293,11814017.9347917,7069852.70666666
105,003150385000,-77.34488778,39.04192659,11810996.965625,7064568.36854167
106,003150467000,-77.34472398,39.04141627,11811045.82625,7064383.10208334
107,003150592000,-77.3447205,39.04209904,11811043.6858333,7064631.77229166
108,003150999000,-77.34455438,39.04227546,11811090.0552083,7064696.61708334
109,003151172000,-77.34451584,39.04156808,11811104.245,7064439.13416667
110,003151579000,-77.34434244,39.04174689,11811152.6725,7064504.873125
111,003151985000,-77.34418127,39.04191332,11811197.6835417,7064566.06229167
112,003152491000,-77.3440201,39.04207811,11811242.7016667,7064626.65375
113,003152998000,-77.34384943,39.04225375,11811290.3666667,7064691.231875
