OBJECTID,PA_TYPE,PA_UNITS,PA_PLAT_NUM,PA_PLAT_LOT,PA_LEGAL_ACRE,PA_SUBD_NAME,PA_SUBD_PHASE,PA_SUBD_SECT,PA_SUBD_BLOCK,PA_LEGAL_SQFT,PA_UPD_DATE,PA_MCPI,SHAPE_Length,SHAPE_Area
1,U,0,,,1,,,,,,2020/04/17 04:00:00+00, ,895.4335396,43559.50715
2,P,0,,A,0.97, , , , ,42253,2025/04/23 04:00:00+00,2.17E+11,818.2369013,42366.98794
3,P,0,,B,4.13, , , , ,179903,2025/04/23 04:00:00+00,2.17E+11,1901.735059,168774.4716
4,P,0, , ,1.6,WESTGREEN, , , ,69696,,2.31E+11,2776.953998,65670.13611
5,P,0, , ,0.34,LUCAS SUBDIVISION, , , ,14810.4,,4.88E+11,515.532482,13701.91055
6,P,0, , ,0.209,HOOPES SUBDIVISION, , ,A,9147.6,,4.88E+11,419.9946153,8999.775392
7,P,0, , ,0.479,LUCAS SUBDIVISION, , , ,20908.8,,4.88E+11,619.3404591,20907.15406
8,P,0, , ,0.17, , , , ,7405.2,,2.30E+11,403.5105839,7499.535473
9,P,0, , ,0.389,LUCAS SUBDIVISION, , , ,16988.4,,4.88E+11,514.4972869,13663.28462
10,P,0, , ,10.199,GALLAGHER DIVISION, , , ,444312,,3.32E+11,2914.998194,459633.8212
11,P,0, , ,2.119, , , , ,92347.2,,3.32E+11,2140.653427,92827.08925
12,P,0, , ,0.34,TAVISTOCK FARMS, ,5, ,14810.4,,1.90E+11,475.2175596,14854.01304
13,P,0, , ,10.18,FAIRFARM INC DIVISION, , , ,443440.8,,3.14E+11,2869.974082,454884.5906
14,P,0, , ,6.9,GALLAGHER DIVISION, , , ,300564,,3.32E+11,2204.437788,295060.4896
15,P,0, , ,20.52,WILLIAMS DIVISION, , , ,893851.2,,2.98E+11,3973.239172,921240.8485
16,P,0, , ,4.949, , , , ,215622,,3.68E+11,2710.962382,228326.8495
17,P,0, , ,10.39,GALLAGHER DIVISION, , , ,452588.4,,3.32E+11,2848.434074,483710.5116
18,P,0, , ,0.5, , , , ,21780,,4.39E+11,801.0740191,22186.40773
19,P,0, , ,0.4, , , , ,17424,,5.09E+11,527.1516535,17261.93309
20,P,0, , ,0.409, , , , ,17859.6,,3.32E+11,560.1210557,18003.80625
21,P,0, , ,0.109,CEDAR WALK, ,2, ,4791.6,,1.88E+11,319.1495268,5073.791215
22,P,0, , ,0.119,CEDAR WALK, ,2, ,5227.2,,1.88E+11,334.6295812,5008.27619
23,P,0, , ,1,SPRINGDALE SUBDIVISION, , , ,43560,,3.32E+11,849.9156058,43731.64057
