OBJECTID,SOILS_,SOILS_ID,SO_SOIL,SO_SLOPE,SO_UPD_DATE,SHAPE_Length,SHAPE_Area,SL_SOIL,SL_SOIL_NAME,SL_SLOPE_PERC,SL_FLOOD_POTENTIAL,SL_HGRP_NAME,SL_CWSD_POTENTIAL,SL_CWSD_POTENTIAL_DESC,SL_CWSD_LIMITATIONS,SL_SOIL_DEPTH,SL_STDF_POTENTIAL,SL_STDF_LIMITATIONS,SL_AG_POTENTIAL,SL_USDA_LANDUSE1,SL_USDA_LANDUSE2,SL_ASSOCIATION_NAME,SL_HYDRIC,SL_KARST,SL_LOW_BEARING_STRENGTH,SL_WATER_TABLE,SL_GWR_POTENTIAL,SL_SLIPPAGE_POTENTIAL,SL_LID_INFILTRATION_POTENTIAL,SL_SHRINK_SWELL_POTENTIAL,SL_ONISTE_SEWAGE_DISPOSAL,SL_ERODABILITY,SL_UPD_DATE,agstype,SOIL_CLASS
1,175,118,02A,A,2005/06/16 04:00:00+00,2572.838188,84410.99394,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
2,325,233,02A,A,2005/06/16 04:00:00+00,4713.426779,148249.2698,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
3,492,400,02A,A,2005/06/16 04:00:00+00,932.7396473,15544.12209,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
4,570,478,02A,A,2005/06/16 04:00:00+00,2067.239184,53005.77477,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
5,16184,15457,02A,A,2005/06/16 04:00:00+00,2528.253693,124883.4997,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
6,16421,15695,02A,A,2005/06/16 04:00:00+00,3375.467575,244204.4735,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
7,1496,1400,02A,A,2005/06/16 04:00:00+00,25054.19876,1675629.489,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
8,1654,27636,02A,A,2005/06/16 04:00:00+00,7778.127886,594434.5725,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
9,2407,2267,02A,A,2005/06/16 04:00:00+00,2631.157036,167430.3643,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
10,2779,2620,02A,A,2005/06/16 04:00:00+00,5586.905537,256958.7595,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
11,2828,2669,02A,A,2005/06/16 04:00:00+00,3574.314959,191972.2371,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
12,2842,2683,02A,A,2005/06/16 04:00:00+00,1727.158181,75826.65569,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
13,2880,2722,02A,A,2005/06/16 04:00:00+00,1228.095036,49700.5781,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
14,2881,2723,02A,A,2005/06/16 04:00:00+00,1718.633231,121604.1781,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
15,2907,2750,02A,A,2005/06/16 04:00:00+00,2860.478726,156117.1274,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
16,2986,2830,02A,A,2005/06/16 04:00:00+00,1430.197087,55280.74704,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
17,2994,2838,02A,A,2005/06/16 04:00:00+00,2991.7805,279290.096,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
18,3115,2967,02A,A,2005/06/16 04:00:00+00,1491.517023,63039.11299,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
19,3135,2986,02A,A,2005/06/16 04:00:00+00,1388.872146,32341.60483,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
20,3244,3099,02A,A,2005/06/16 04:00:00+00,22378.79392,1818104.486,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
